factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
0.006687382 -0.3297148 -0.3868215 -0.1365248 -0.1520689 0.2116128 0.1260558 -0.03048696 0.1079315 -0.05089546 -0.06719374 0.0942697 0.1299505 -0.05015489 -0.01705119 -0.03177823 0.09183874 0.03357716 -0.001766566 -0.03368858 0.02421142 0.1536699 0.1309429 0.07982998 0.1361409 -0.3747488 123616.5 4.116528 50046.46 -0.2399655 0.0916493 0.07968697 -0.341143 0.1038344 0.1410283 -2.29483 138700 151659.9 0.3997948 4.611518
0.03348948 -0.3561771 -0.3699277 -0.1592406 -0.1747095 0.2026999 0.1750897 0.04448435 0.07236982 0.01326342 -0.1868163 -0.04594203 -0.05530931 -0.1052791 -0.3542592 -0.07558116 -0.2121623 0.2314633 0.005263998 0.053407 0.04685061 0.03180094 -0.1015137 0.1254918 0.1525444 -0.3263311 71561.95 -2.283817 -96829.28 -0.06179984 -0.1951209 0.1627382 -0.2457763 -0.7382255 0.8498274 -0.693082 -185823.4 -120636.3 -0.0216621 -8.82685
-0.01762768 -0.3983849 -0.4420508 -0.1083221 -0.1582162 0.1925906 0.1448816 0.002394431 0.14927 -0.05244528 -0.06796293 -0.001347927 0.1224466 -0.1220333 -0.08592279 0.01701763 -0.2201065 0.4063202 0.08460237 0.295777 0.1289819 0.1689239 0.1104376 0.1231236 0.218166 -0.4379669 20239.28 4.674766 -12408.92 -0.09909792 -0.1278539 0.08336428 -0.203761 -0.3428116 0.3413937 -0.8384788 67774.38 -45869.65 -0.06935516 -4.66159
-0.005101424 -0.4277463 -0.4859089 -0.1896979 -0.2490372 0.2369899 0.1041231 -0.02728972 0.09651849 -0.07561835 -0.1160543 0.1528148 0.05964184 -0.009548467 -0.08816574 -0.1362008 -0.1006745 0.4809086 0.1011518 0.1244409 -0.03652697 0.1146238 0.03501225 0.1151842 0.08088243 -0.4506096 -124807.2 5.183224 -157155.6 0.07446259 0.3915031 0.1798723 -0.005407937 -0.2594982 1.285114 -0.3364123 18368.88 114551.4 0.5302347 -2.954322
0.01729811 -0.4400797 -0.5611809 -0.1297273 -0.1999163 0.1458215 0.04080777 0.03607298 0.117581 -0.03503489 -0.1371632 -0.08276347 -0.01512882 -0.1917812 -0.3369111 -0.06819544 -0.153893 0.2305176 -0.03492683 -0.2090107 -0.04143879 0.1604694 -0.158886 0.006388434 0.08984486 -0.3059289 59125.79 -2.560336 -55772.5 -0.3006544 0.5982966 0.2542087 -0.1881114 0.2388471 0.633879 -0.8852801 -148674.8 -221848.5 -0.5130938 -6.071972
0.03872735 -0.4182587 -0.5267249 -0.1701018 -0.2369653 0.1220414 0.07320878 0.03122977 0.1068522 -0.08521626 -0.06845242 0.1323498 0.06894657 -0.1850381 -0.4039801 -0.07492492 -0.1156547 0.002232962 0.02447986 0.09538301 -0.08120039 0.05997812 -0.09661175 -0.01112771 0.05560119 -0.194906 -34370.4 2.735813 74129.65 -0.3363894 0.1965765 -0.08002549 -0.09238918 0.5321625 1.603251 -2.728798 44946.83 -166950.6 0.1900576 -2.86226
-0.04566932 -0.2984245 -0.3755727 -0.1554899 -0.1802777 0.181091 0.08872548 0.02732969 -0.004320899 -0.1089733 -0.2211914 -0.008035422 -0.1574554 -0.1683505 -0.5464915 -0.2216029 -0.06393514 0.2219784 -0.1293685 -0.2499072 0.08489014 0.06688225 -0.1801349 0.2046172 0.02970548 -0.4869099 -18606.69 -3.336292 -78306.56 -0.03924511 0.2060382 0.2046678 0.03144586 0.5356447 0.6374219 1.883459 -35038.08 -62185.52 -0.4658006 9.407493
-0.03612246 -0.3647051 -0.479828 -0.1523784 -0.200487 0.1692909 0.1752446 0.06855287 0.02804541 -0.2399866 -0.212849 -0.01927233 -0.04944611 -0.3078161 -0.2245559 -0.1401833 -0.1040744 0.3004714 -0.02458505 0.08646726 -0.05675944 0.01735514 0.04622504 0.02444001 0.04725803 -0.2888038 98046.93 -1.161617 -81007.6 -0.1286113 0.2505148 -0.1171064 -0.334723 -1.445324 0.5488121 -1.938454 -215199.8 29965.03 -0.1821863 3.46335
-0.0004682 -0.3711212 -0.4546301 -0.1524687 -0.2451683 0.1237951 0.04371886 -0.00564729 0.1242253 -0.0209922 -0.1150663 0.1681268 0.1634019 -0.07594356 -0.1595879 0.03828194 0.06890414 0.2965213 0.02548453 -0.1412203 0.1415387 0.1011824 0.06982276 0.2612572 0.2116206 -0.2843588 49939.58 4.008175 55719.88 -0.3327671 0.2564591 -0.1001106 -0.1625466 -0.2623331 0.5885487 -0.04096956 171103.5 197442.6 -0.3433134 -0.3799768
0.07366444 -0.3144308 -0.414127 -0.1564109 -0.20794 0.2258237 0.09927696 -0.03536444 0.09223808 -0.1119856 -0.07627641 -0.0122309 0.105651 -0.03495211 -0.54611 -0.1048362 -0.3063628 0.281413 -0.06155565 -0.1383699 -0.1220777 0.07204611 0.01927753 0.1171022 0.02413678 -0.190911 57978.07 1.769149 10833.74 -0.1446038 0.4162997 0.08636375 0.06348366 1.046147 1.602535 -0.06985002 101629.8 32981.92 0.8600257 -1.139022
0.008872007 -0.428007 -0.4567686 -0.1650346 -0.2013032 0.2434159 0.120703 0.0351681 0.06373338 -0.05715384 -0.01042457 0.08125114 0.1454392 -0.1874956 -0.1842391 -0.1301999 -0.02213783 0.3143849 0.0457921 -0.07846695 0.1014514 0.1552125 0.02937095 0.1109296 0.09394075 -0.1807043 -201777.7 -1.801187 70260.91 -0.07610216 0.3953874 0.05554308 0.1526755 -0.4462901 0.6468072 -2.175029 116378.6 -131595.7 0.472629 7.873198
-0.04722949 -0.3807829 -0.472919 -0.1682213 -0.2082141 0.1701964 0.06799169 -0.01113268 0.1391362 0.01094405 0.008815108 0.007715404 0.0952683 -0.132593 0.03212119 -0.08420528 -0.1761778 0.3080822 0.05270684 -0.03010762 0.09102075 0.1232676 0.08281503 0.2635684 0.1551407 -0.2752224 -101794.6 0.4297019 -11096.04 -0.2962132 0.09866585 0.181113 0.1785005 -0.4024826 0.2811272 -2.925743 -24325.7 -47566.06 0.2145995 2.130293
0.003580898 -0.3466782 -0.4474407 -0.2042711 -0.2659385 0.1782866 0.08814546 0.07396501 0.05071403 -0.06685063 -0.09440684 0.004762101 0.02367131 -0.2544328 -0.01696312 -0.08900815 -0.01828286 -0.06032221 0.02590615 -0.3961248 0.02627216 0.08681947 -0.0697055 0.04955224 0.1681885 -0.135002 -17734.83 4.23578 28588.27 -0.1831948 0.05045143 -0.2030474 -0.1761859 -0.2175159 -0.4065615 -3.217803 117365.7 -123878.8 -0.5723605 5.188271
0.02520269 -0.3107251 -0.4897921 -0.09095733 -0.2058341 0.1878219 0.1298075 -0.004572498 0.1000555 -0.0961226 -0.1053956 0.1458521 0.01498722 -0.1624556 -0.03980392 -0.08226778 -0.09342724 0.415472 0.1084402 0.007898482 0.0113445 0.1990357 0.07177198 0.2299786 0.1416652 -0.2433672 165246.4 -0.5960076 32052.41 0.17785 0.3671478 0.1256287 -0.03431183 -0.3801555 0.03256248 -2.367981 79604.27 -8953.351 -0.133301 -3.504471
0.03446544 -0.2617253 -0.2820963 -0.1054391 -0.1524816 0.2562082 0.2108011 -0.02605205 0.0901683 -0.06837453 -0.07504993 0.02160066 -0.004508112 -0.1118189 -0.3035343 -0.05030524 -0.1230099 0.08128736 -0.009539618 0.0542587 0.01887141 0.2037502 -0.1390553 0.2264808 0.01536376 -0.4474102 76462.1 6.419535 -169441.9 -0.08221783 0.4401323 0.02593616 -0.1012438 1.235691 1.325004 0.1377682 59075.56 -71858.67 -0.2095301 -3.812199
-0.01346072 -0.3736506 -0.3226901 -0.1629449 -0.2313388 0.1626534 0.152434 0.01911219 0.2006754 0.03011216 -0.09859547 -0.002419275 0.1327801 0.03741954 -0.2962415 -0.08468967 -0.1276808 0.2043765 0.1494676 0.1140097 0.1195213 0.2105229 -0.01489765 -0.0233094 0.1611294 -0.3933062 13315.69 -2.189418 -58827.69 -0.1673558 0.1988038 0.1649913 0.2365875 0.540472 0.9942705 -0.4634951 20422.42 135972.5 -0.7144857 -6.188004
0.05577036 -0.3979142 -0.5269492 -0.1189345 -0.1438406 0.2203389 0.1626092 0.02056863 0.2410259 0.1094074 0.03216946 0.1110105 0.06279966 -0.05408511 0.04952916 -0.05408135 -0.2212356 0.05954639 0.146086 0.1159191 0.182815 0.2272595 -0.02201338 0.2567795 0.2887277 -0.1232233 -95051.49 8.051141 183459.1 -0.1715304 0.2889148 0.02963618 0.08450996 0.483298 0.7291972 -2.324856 -85200.63 -129589.3 0.06762419 -5.561324
-0.03534407 -0.3287359 -0.4189014 -0.119959 -0.211058 0.1522624 0.07700641 0.03329468 0.2163699 0.1226623 -0.01166811 0.2861849 0.2556181 -0.06696969 -0.1236177 -0.04421518 -0.04490444 0.5518147 0.05203874 0.1717939 0.1661789 0.2444224 0.2926496 0.02779708 0.2341225 -0.1751253 -57835.86 1.300273 -65538.55 0.02724289 0.174164 -0.01316219 0.4069573 -0.1187513 -0.5621614 0.3187967 34251.58 49489.3 -0.1339642 5.287812
0.03862682 -0.3002429 -0.3703334 -0.1464248 -0.2184588 0.1858372 0.08277556 0.008246606 0.2702472 0.1061085 0.1441021 0.1169064 0.2090414 0.0140042 -0.3764209 0.07186615 -0.2549733 0.592297 0.2009801 0.02021141 0.1230339 0.2367332 0.1317571 -0.02665623 0.231041 -0.01926841 32067.88 5.275489 -49846.25 -0.05509084 0.4483396 0.3751213 0.09119584 1.231684 1.641855 0.2106928 -41868.9 -37469.94 0.169141 -0.6446329
-0.02703188 -0.3819724 -0.4198072 -0.2362231 -0.3250592 0.1270435 0.06952215 0.06645435 0.1156755 0.05569283 -0.08112591 0.029568 0.2344494 -0.163449 -0.1651196 -0.0614969 -0.3006778 0.2724257 0.1352778 -0.07651276 0.1373139 0.2379816 0.07362356 -0.1431717 0.1785523 -0.2380877 231704.6 3.093798 57099.26 -0.03921925 0.1095548 0.04668986 -0.02892344 0.4188622 -0.010631 2.346505 -61459.02 129484.4 0.4626786 3.17745
-0.03696974 -0.3832467 -0.4567484 -0.2112475 -0.2743756 0.140604 0.0900518 0.05111206 0.2049037 0.06537107 0.04581686 0.1310575 0.2028991 -0.07875093 -0.1449986 -0.01195738 -0.1748559 0.3764926 0.04110654 0.1210501 0.1587282 0.2365772 0.007114021 -0.005092334 0.2362426 -0.05387226 -110176.4 -4.786889 59536.98 -0.5359182 0.2246853 0.3153863 -0.0292494 -0.4876911 0.9209279 -0.5253855 22092.61 101034.9 0.007840138 -5.70207
-0.0229893 -0.4127119 -0.5182001 -0.131156 -0.2122463 0.1707631 0.07111828 0.02282884 0.1799357 0.04355019 -0.06687923 0.1168469 0.01730112 -0.1539731 -0.12164 -0.06700663 -0.1049466 0.3263626 0.02869475 -0.03650187 0.04106213 0.1360759 -0.07513524 0.2694464 0.1503541 -0.3702451 -35452.19 3.955963 46019.33 -0.3243146 0.2625899 0.07638212 -0.3252522 0.6859297 1.285319 -0.5582606 36769.48 -48984.68 0.05583954 2.404618
0.04980046 -0.3515383 -0.431978 -0.2496172 -0.230312 0.1121278 0.047236 0.01561935 0.09105149 -0.06567851 0.0237144 0.08902411 0.06237045 -0.1266015 -0.05547511 -0.03239387 0.04673074 0.2476458 0.02345261 -0.4059225 -0.05615518 0.2106411 -0.03826324 -0.1464925 -0.02576329 -0.2635595 -10983.04 1.853138 144809 -0.416814 0.1792438 0.2662634 -0.1477813 0.9297166 0.3189251 -2.212687 -72115.45 -28850.88 0.1153362 -1.061649
