factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
-0.1964221 -0.5986679 0.05800936 -1.739116 -2.843399 -1.284109 -1.510631 0.1004999 -0.6088419 -2.092723 -0.1613177 0.9484119 -2.458986 -3.580476 -0.7907484 -1.336013 -1.545286 -2.083657 -1.404654 -0.9743463 -0.9600187 -1.361094 -2.989413 0.05769237 -1.749404 -0.01517408 1336.645 -13.29784 -1769.914 -3.703604 -3.505139 -2.380865 -1.870284 -9.809837 -5.031418 -45.06451 7001.418 -0.6989332 -1.59975 18.90135
-0.1934838 -0.6879388 -0.4918949 -1.838945 -2.413678 -1.24824 -1.75067 0.3840628 -1.019822 -2.266932 -0.9990556 -0.8251615 -3.680607 -4.135272 -1.163361 -2.784696 -5.411818 -1.267485 -2.720007 -1.122331 -1.545919 -1.062775 -3.35227 -2.473357 -1.675321 -0.07013251 2005.075 -25.33005 -2048.767 -0.07080844 -2.011537 -4.418459 -2.023076 -7.335696 -2.710196 -13.37395 1534.508 11.79014 -0.2492971 -20.77026
-0.4209077 0.002145015 -0.1447704 -1.646063 -2.118798 -1.925437 -1.569326 0.02593726 -0.883893 -1.994958 -0.8887582 -0.2785599 -3.474317 -2.989381 -2.585527 -1.669461 -2.592981 -2.63719 -1.165807 -2.443676 -1.037483 -1.856518 -4.116267 -2.206607 -1.985142 0.4005262 2496.951 -232.383 -2650.243 -3.564459 -0.884512 -1.292493 -2.111815 3.159135 -0.005979966 46.63547 5378.535 1.857577 1.488492 -25.74044
0.1217533 -0.5873126 -0.4734402 -1.886279 -2.288301 -1.882354 -1.68189 0.2336368 -1.003071 -1.335612 -0.7326308 0.2664316 -3.391847 -1.89732 -2.854027 -1.420478 -3.080652 -2.530173 -0.1323302 -0.5752525 -1.411727 -1.812513 -2.659722 -0.7375281 -1.344964 -0.1384702 2772.068 -55.8948 -3016.196 -0.00132314 -1.548912 -1.359749 -2.26029 4.307953 2.375368 42.09462 6107.959 4.365207 -0.3581697 -19.29383
-0.3603314 -0.3765244 -0.196381 -1.644612 -2.980712 -1.674188 -0.9594451 0.1720497 -0.5195935 -1.434918 -0.1720416 0.1198457 -4.230102 -1.575216 -2.876461 -1.826527 -1.585021 0.4936889 -0.9525675 -0.2247688 -0.907118 -0.8498656 -3.217469 -1.592476 -1.335068 0.5386179 2953.898 2.292567 -3209.276 -3.365325 -1.744373 -1.614207 -1.186141 -1.076616 -7.353358 -28.07184 6637.591 -10.76393 1.521701 -8.12163
0.120742 -0.6534875 -0.3163194 -2.02288 -2.494704 -1.511833 -1.629436 0.2087033 0.7007371 -0.4511656 0.8860131 0.419901 -3.681585 -1.248135 -0.954514 -1.44492 -1.941373 -3.484889 -0.4601857 0.2088738 -0.4463459 0.3884006 -1.566574 0.1291386 -0.2545422 1.861247 2902.844 43.24216 -2874.105 -1.156614 0.7281443 0.524777 -1.113761 4.684658 4.174767 -51.18192 1257.981 -5.182685 1.594909 -25.45304
-0.2791531 0.130826 -0.0906141 -2.196345 -2.6909 -1.658097 -1.699858 -0.02458768 0.002391589 -0.7946704 -0.1618636 0.2994663 -4.480357 -1.810371 -1.078893 -1.891236 -1.928016 -1.654372 -0.7968838 -1.832865 -0.8823626 -0.3288988 -2.068064 -0.5077248 -0.628983 2.228346 2983.126 -162.0577 -2339.383 -2.839603 -2.338433 -1.165727 -1.830318 8.81385 -1.557316 3.769211 -4564.066 12.00419 -0.6010191 -28.03655
-0.4026451 -0.5457142 -0.34238 -1.803194 -2.814038 -1.6003 -1.72968 -0.1180336 -0.1339948 -0.9523885 0.482944 1.913491 -1.524312 -1.94816 -1.493126 -2.094624 -3.480828 -1.550355 -0.3832989 0.447904 -0.76409 -0.5129555 -1.869463 -1.244472 -0.1159001 0.6211121 3265.098 -101.7771 -2499.302 -1.218351 -0.3739477 -1.958956 -0.885358 -2.013646 -1.710608 22.05909 -6151.915 0.8545107 1.390544 -3.668601
-0.04731801 -0.01595053 0.128338 -1.559185 -2.589262 -2.143311 -0.9159365 0.265638 -1.56267 -1.524106 -1.092551 -0.432139 -4.0878 -3.260344 -3.401751 -1.757967 -2.044818 -0.8671726 -0.5221039 -1.586804 -2.948596 -1.759462 -3.040706 -1.503695 -2.754501 0.3002938 3036.196 -91.31157 -2393.927 -4.17495 -1.796672 -3.282867 -2.963175 -2.395076 2.297799 -8.549552 -4141.736 -4.461313 2.139098 -0.3164931
-0.7638353 -0.6803246 -0.7042979 -1.888502 -3.153949 -1.742116 -2.206902 0.3851425 -0.980687 -2.15852 -0.8750108 -0.404409 -4.195862 -3.105117 -2.529784 -2.156505 -1.660104 -3.938585 -1.573796 -3.460223 -1.839981 -1.96357 -3.315793 -2.446788 -2.021811 -1.477774 2720.524 -184.2523 -1959.328 -1.56559 -0.1076953 -2.143538 -2.203751 5.268023 -3.229095 83.11714 -5634.052 8.923087 0.1625884 3.493799
