factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
0.8503338 2.234409 3.748656 -1.164491 -1.47866 -2.456039 -2.467204 0.08139693 1.492985 0.4300655 2.750553 1.028516 0.6961752 2.323541 1.38145 3.662582 -0.6417047 -0.8577201 1.027401 -1.452449 0.1045799 -0.2622073 1.989279 -2.423821 0.8952519 4.65359 -19227.76 37.67618 -22946.33 0.6275572 4.526126 -0.8649518 -0.5675937 6.991926 -16.22839 52.14181 31305.71 5298.674 11.26182 -103.9409
1.29585 2.205039 4.805172 -1.414054 -1.042243 -2.286866 -1.917896 -0.2221031 1.882003 2.199412 3.463336 2.247473 2.081941 2.628315 2.4456 3.236523 2.260647 -0.04387435 2.084884 1.356469 2.076254 2.039382 4.492446 0.292735 2.510091 5.406803 47845.9 -15.07185 1850.8 1.311912 1.724244 3.961486 -1.225472 -6.989479 -16.79588 17.34054 194009.2 56811.61 11.76517 -51.94043
1.274809 2.197467 4.596651 -1.090571 -0.5577067 -2.386496 -2.109261 0.5373643 2.873562 3.799735 5.338203 2.472291 1.255858 1.942939 3.683201 2.085654 1.55092 0.0461797 2.61045 1.115873 3.170409 2.490924 1.840005 4.11186 3.371122 7.153098 67589.88 40.45782 18088.74 1.10827 2.364302 1.542899 -0.1428188 9.812998 -12.85454 5.391042 168081 54114.44 2.838954 -131.7737
1.439874 3.27201 5.44979 0.006120231 0.03349669 -2.147315 -1.391476 0.5849074 4.060029 3.83956 5.459592 2.786867 1.570982 3.780097 5.777356 6.132608 3.072468 2.116083 4.365382 2.402685 3.610103 2.630397 3.319376 0.3948112 2.561711 5.407331 -28676.08 -69.10308 -240515.7 2.489011 1.842521 6.254854 -2.105201 -1.04335 -4.677339 20.37638 94176.87 44939.48 9.084599 12.77426
1.638107 2.646537 4.773715 -1.664198 -2.247867 -2.60781 -1.6005 1.353166 3.707854 3.659024 5.774116 3.322619 3.546885 5.180542 2.257849 3.65855 4.759227 0.7408865 5.450217 0.6236162 4.639538 3.175996 4.356471 1.741675 3.901257 6.254712 63661.53 4.682414 54383.62 -0.6814518 6.870461 3.163414 0.2689975 2.854295 -12.20135 15.52197 -100630 -101574.4 6.003509 73.02542
1.852076 2.17344 3.66475 -1.902178 -2.008858 -2.370878 -1.625469 0.2717112 4.454331 4.763375 5.673564 5.099135 3.84035 6.310582 5.523868 5.192005 6.263388 3.340092 4.987767 3.062886 4.946087 3.967227 4.409186 3.047525 3.838688 9.543445 -70421.68 46.39043 241714.2 7.547043 -1.514135 3.199683 5.551546 8.21114 -9.795885 15.10704 -184991.3 48676.22 11.11051 79.56511
1.745717 3.39711 5.100866 -1.597764 -2.076063 -2.801372 -1.233599 -0.0930565 4.90334 4.577909 5.286712 5.459077 1.682297 6.000049 4.221531 5.791156 5.469761 3.909478 5.299094 4.26831 5.296316 3.939626 5.520838 2.195277 5.738789 6.883299 -183769.5 -30.64134 -12340.41 6.699998 4.648518 7.751905 1.835034 9.919552 -9.381975 17.87692 -75153.64 25901.97 3.364389 -54.34632
0.4041478 3.423383 4.897276 -1.631114 -1.24644 -2.561026 -2.486947 -0.1397224 5.389206 5.608473 7.319607 6.224229 3.742655 4.57082 5.72946 6.870652 4.187853 2.529484 5.515474 5.142094 6.532109 4.401136 5.854532 5.65779 4.477937 6.838382 -171518.1 20.91202 94476.92 7.797674 6.566283 9.618911 4.125991 10.46737 -12.6867 20.48213 39528.79 -119802.3 7.036433 -8.471575
0.4124719 2.37206 4.083733 -2.403956 -2.595868 -3.739362 -2.394698 0.3980579 5.519629 6.312424 8.727591 7.015323 5.469696 7.456237 5.17545 9.246826 8.390054 6.218816 6.923191 5.146609 7.151316 4.472972 8.516709 2.708819 6.270281 10.87038 70176.06 -57.2797 -156038.2 8.674327 6.531677 5.925931 8.440855 7.571899 -7.890318 35.73268 -27243.52 252060.1 13.95579 132.3577
1.352399 2.840967 4.509717 -1.315944 -1.587471 -2.975018 -2.31467 0.005192818 4.574157 4.18131 7.026613 4.948046 4.615241 6.350011 5.649649 5.640109 6.900734 5.549841 5.76551 4.330159 4.632416 3.893737 6.332379 4.022341 4.610322 6.891938 141526.4 -46.21135 129428 3.297008 4.901035 5.04063 1.925658 0.7403666 -3.906429 23.15548 -7235.898 14379.18 7.948328 -35.36119
