factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FEH_HGD1 factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
-0.04555188 -0.01041935 0.01396879 -0.07434792 -0.09094993 0.1426652 0.2655823 -0.4582247 -0.5476449 0.2665807 0.183592 -0.2996734 -0.3430253 0.1291168 7.561489e-05 0.05500265 0.1273442 0.09174448 0.01859646 -0.01392121 0.4058213 0.1241258 -0.08647115 0.08591865 -0.03788877 0.1541663 0.1620496 -0.08229142 0.02900639 0.1407861 0.1628973 0.03966269 0.1438076 -0.3148109 -82.28826 0.4474953 64.23768 0.1496933 0.2615628 0.2648116 0.1074467 -0.04648477 0.193295 -0.7161254 159.9026 -0.7792283 -0.4213433 4.044359
0.049203 0.1011921 0.09885717 0.03563189 0.02224785 0.3341964 0.4331279 -0.3091694 -0.4136218 0.408921 0.2796781 -0.1508598 -0.1788102 0.150488 0.1835392 -0.009304254 0.1443054 0.08575433 0.09130163 -0.04823279 0.03185987 0.258276 -0.02893861 0.1042576 -0.007452556 0.3513783 0.1329422 0.09182187 0.07675202 0.1057329 0.2029729 0.2665358 0.09271621 -0.1404314 -11.19057 7.836806 -44.16436 0.2709858 0.3170451 0.2171843 0.1813643 -0.2349549 -0.08883674 0.334297 745.6311 -0.9554614 -0.4371149 2.014659
0.06421882 0.1035166 0.02477138 0.05317847 -0.02908164 0.2321457 0.425772 -0.3595393 -0.3594002 0.4078403 0.2641416 -0.2304283 -0.2813867 0.1318097 0.1110254 0.01753014 0.1292348 0.03106147 0.06071161 -0.1028225 0.2821073 0.2218315 -0.09972319 0.09408942 0.07986677 0.2769227 0.1406539 -0.2778485 0.01240498 0.09682426 0.1090713 0.02447115 0.02634722 -0.2497686 -12.87557 -6.804662 0.8979988 -0.1509817 0.06353943 0.03611127 0.1855132 -0.9043007 -0.08844286 -0.5446074 209.3401 -1.364476 -0.6930984 2.495501
0.04779563 0.06576625 0.03943741 0.05518866 0.008456696 0.286944 0.366686 -0.3745702 -0.3917829 0.3842526 0.3950085 -0.1558419 -0.1528875 0.238007 0.1424468 0.04636014 0.1225013 0.005697734 0.06611484 -0.05452621 0.1650329 0.1384247 -0.06527334 0.07870557 0.003292358 0.3770385 0.04138654 -0.1533472 0.05951941 0.09833078 -0.03346574 0.04625204 0.04944533 -0.2785731 -3.252225 9.48225 28.70373 -0.08692557 0.3518842 0.2991895 0.09103172 0.05659755 0.4222332 -0.3771208 -418.9432 -1.708327 -0.1192221 1.567327
0.003226679 -0.03415034 -0.0005839263 -0.04203123 -0.02310561 0.3055173 0.3275233 -0.4190566 -0.4494172 0.2695045 0.1803106 -0.2137162 -0.2577785 0.2451883 0.09319378 0.06481405 0.0999302 0.01934613 0.06068953 0.03819748 0.348159 0.007171498 0.0499849 0.003928627 0.1298051 0.4252163 0.194771 0.05114866 0.1123239 0.08099948 0.004533779 -0.0180184 0.08062852 -0.3806725 17.59927 -1.25932 58.1681 0.04528021 0.4199196 0.07987077 0.1313095 -0.1044214 0.4263556 -1.354852 -713.6152 -1.707706 -0.3868447 3.050521
-0.02056499 0.0581364 0.04474072 0.04713361 0.1313021 0.2245158 0.3185623 -0.3991846 -0.4513846 0.3770666 0.2243652 -0.1558027 -0.1700631 0.1999779 0.09369759 0.002021162 0.1365797 0.1066505 0.1282815 -0.02411067 0.2515486 0.1053292 0.03617362 0.04730454 0.176128 0.1721002 0.07687419 -0.08563747 0.08389309 0.08665431 0.06846405 0.1681979 0.1078223 -0.2768075 37.54846 0.8796718 -17.92601 -0.05386499 0.09881867 0.2676066 0.1209721 0.5077287 1.095452 -3.114874 -249.0257 -2.415363 -0.4771055 0.5672645
0.03877521 0.01207351 0.05758986 0.04028079 0.007992921 0.3222817 0.4306243 -0.323935 -0.3799608 0.4453761 0.1799316 -0.1550036 -0.1969757 0.2126166 0.1806845 -0.002954637 0.07135607 0.1252618 0.01430906 -0.06441425 0.03123385 0.1179731 -0.07809598 0.07933837 0.08100754 0.420543 -0.004135425 -0.01814843 0.06467714 0.08949568 0.07479792 0.05910296 0.06468792 -0.2063936 24.00346 -7.549331 12.5547 0.2265745 -0.1605646 0.2965429 0.1593925 0.4168522 1.813903 0.6480904 -321.9854 -0.9687949 -0.08660433 1.333018
-0.02795671 0.0117204 -0.006220471 -0.00635413 0.006036246 0.2676411 0.3768273 -0.3769737 -0.5131581 0.16164 0.1584736 -0.2486144 -0.1897922 0.2120237 0.09088679 0.07494724 0.03387143 -0.02231218 -0.06534979 -0.0231394 0.09802925 0.01126878 -0.2202073 0.06828959 -0.02994994 0.04593979 0.02499007 -0.2567853 -0.02544147 0.02734371 0.002244219 0.05005581 0.04681302 -0.3452581 4.282936 3.540283 -6.533843 -0.2277495 -0.006644689 -0.0386475 0.004014734 -0.693432 1.12788 -2.431671 105.2546 -1.579288 -0.1698491 2.14783
0.04977523 0.01234213 0.03562452 0.0007981292 0.05157374 0.3337558 0.3698071 -0.2533721 -0.4125279 0.3562175 0.1912078 -0.1542831 -0.09535389 0.2101509 0.1896802 0.0004866176 0.02824947 -0.1479918 -0.0650572 -0.1699328 0.0354119 -0.04849037 -0.2691017 0.007436884 0.05625395 0.1994138 0.08800032 -0.05674812 0.008128909 -0.01599547 0.05388835 0.0415082 -0.0009247994 -0.344154 5.147607 8.500249 -30.20267 0.09671705 0.2037892 0.1623945 0.2853086 0.1354761 1.432458 -0.7108538 457.6841 -1.407305 -0.2479082 -0.3470469
-0.03785966 0.0105613 -0.0186179 0.01071775 0.05800964 0.2152337 0.263164 -0.2235874 -0.3846792 0.281618 0.127555 -0.08420689 -0.1794582 0.2176056 0.1248174 0.04566543 -0.05843957 -0.09305655 -0.1453352 -0.09472581 0.01986775 -0.02936528 -0.1462021 -0.02556429 -0.06265619 -0.1190686 0.05024772 -0.2451746 -0.04606406 -0.04418663 -0.04250081 -0.0184717 -0.02026095 -0.2941089 -12.54735 -6.033011 11.8209 -0.1420381 -0.310068 0.0210097 -0.0303572 -0.5135926 0.127002 -2.000856 51.44055 -0.5173499 -0.3856438 1.35086
