factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FEH_HGD1 factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
-0.1922418 -0.1022168 -0.2310491 0.8330232 2.156707 -1.706654 -2.693182 3.358255 4.3365 -1.926685 -1.383653 -0.6480536 -0.3646373 -2.035001 -0.8479827 0.1484955 -1.153366 -1.518432 -0.7598702 -0.4711857 -3.564636 -2.260602 -2.993523 -1.480459 -2.345633 -2.778127 -1.547521 -1.965124 -0.3133913 -1.959602 -2.150793 -1.470925 -1.368661 -1.111185 -448.2285 32.91532 -826.1195 -4.591311 -0.8325153 -2.139102 -2.870557 -2.963291 -7.213496 23.16484 14714.78 -7.636929 1.755597 7.49848
-0.5181247 0.01802181 -0.4861419 1.281476 2.254279 -2.122151 -2.065472 3.006974 5.542221 -1.448019 -1.044806 -0.6479468 -0.2738234 -1.865057 -0.7265345 -0.02610796 -1.610735 -2.753368 -1.051545 -0.9711698 -2.64781 -1.491824 -3.812088 -0.9335037 -1.708261 -3.162213 -1.954821 -2.683371 -1.787086 -2.485461 -2.887512 -1.877032 -2.225223 -0.8001969 665.9409 -95.83467 -1405.029 -1.905561 -0.9360495 -1.387148 -1.137433 -0.4955806 -4.158253 22.84348 9682.21 -4.115427 -2.574321 -24.9268
-0.1451453 0.3231968 -0.6841875 0.8293105 1.519842 -2.248698 -3.009708 2.733921 5.113552 -1.82242 -1.384927 -0.7851425 0.1029786 -1.209512 0.004553672 0.3200305 -1.339906 -2.736666 -0.02262033 -0.8502314 -3.508575 -2.161382 -0.6026743 -1.231737 -1.182091 -1.78962 -0.8187102 -2.927694 -0.2795644 -1.499941 -1.706514 -2.28884 -1.643889 1.269376 769.7692 55.86261 -1766.649 -2.960967 -5.096869 -0.6862989 -3.947502 -9.124745 -7.347379 1.15336 12912.64 1.255758 3.073295 -16.75155
0.1346228 -0.1807833 -0.3563341 1.048272 2.710621 -0.9564849 -2.321233 2.969849 4.912037 -1.161907 -0.7837946 -0.5217856 -0.4068067 -1.250716 -0.3706246 -0.2723957 -0.6831147 -1.699387 -0.01541644 -1.054876 -2.456895 -1.502854 -0.6913592 -1.875946 -3.271281 -0.9394103 -0.514751 -1.222911 -0.852101 -1.821661 -1.583284 -1.027963 -2.275444 0.6350963 1674.65 -9.540819 -2011.866 -3.51763 -1.805285 -1.494088 -4.595352 -2.534026 -9.808354 7.413839 5266.378 8.999671 1.520358 -7.715457
-0.6510014 -0.6434016 -0.1989265 1.731903 2.983599 -2.03227 -3.094369 3.179001 5.641988 -2.30943 -1.574712 0.401606 -0.08172719 -1.147409 -0.05294416 -0.09510681 -0.8767993 -1.572628 1.157869 -0.3608461 -1.658592 -0.4042447 -3.068306 -0.6027504 -1.055466 -1.503158 -0.6529079 -2.383279 -0.6123401 -1.877191 -1.806079 -1.047143 -0.6683991 -0.4617206 1730.496 -71.09861 -1988.657 -1.412468 1.338509 0.6526675 -1.403952 -0.08149242 -8.316226 -0.4681054 4848.002 1.878533 -0.556978 -24.69246
-0.03111184 -0.5103142 -0.2421869 1.323169 2.514985 -2.360801 -2.464421 3.130383 4.813408 -1.351739 -1.099915 -0.1470366 -0.2457141 -1.115845 -0.05541859 -0.02200867 -0.3769737 -0.1892162 0.6643634 -0.7908079 -1.038348 -0.884688 0.5539162 0.3738504 -1.081441 -1.18978 -0.6926257 -0.9960538 -0.9632554 -0.9329961 -1.747488 -1.656401 -0.7469751 0.7624086 1875.516 -61.96974 -1882.227 -1.947457 -3.660458 -1.871992 -2.093635 -4.498248 -6.592629 27.18933 2378.745 10.93282 0.6254533 -12.66346
0.4532652 0.01904679 0.2559161 1.618392 2.433003 -1.778447 -1.927965 4.097472 5.730316 -1.276611 -0.9089458 -0.1708339 -0.01833319 -1.419154 -0.308012 0.2298322 0.288965 -0.6293526 0.8666174 0.4215334 -2.277344 -1.136654 0.6768639 -0.5431048 -0.5091249 -3.107624 0.152935 -0.9107447 0.8215158 -0.699548 0.006778941 -1.097749 -0.2469425 2.535371 1390.282 -53.07605 -1999.637 0.03023567 -1.605488 0.2632028 -2.528511 -0.6832419 -10.74282 15.30307 8771.418 15.55608 2.213586 1.551499
0.3281681 -0.1277564 -0.1917848 1.377544 1.827847 -1.22089 -2.586429 3.564761 4.692616 -1.473093 -0.93949 -0.8447435 -0.4517324 -2.487515 -0.7862706 0.3903514 0.8197365 0.3631973 1.98393 0.5921208 -1.928301 -0.1344251 1.314433 1.301166 -2.207575 -1.305002 1.025634 1.031085 0.6188998 0.4182931 -0.6854393 -1.641555 0.502163 1.777894 1320.293 -126.773 -2326.521 -0.3468138 0.729932 2.0639 -0.6181971 -3.037677 -0.9137772 22.0633 13273.38 2.295649 1.977885 -11.18842
0.006396267 -0.3358426 -0.136367 1.187761 1.992569 -1.627834 -2.784561 2.804962 5.415644 -2.6206 -1.524175 -0.3175259 -0.9794947 -1.869196 -0.9109192 0.08066975 1.210399 0.432329 2.365099 1.950039 0.4321614 0.8550961 1.476124 1.881514 -0.3309621 1.26897 1.544532 0.7474319 1.700973 1.395884 0.4702035 0.09463131 1.154716 3.22249 972.3114 3.823831 -1721.665 1.541729 2.647591 -0.1232768 -0.6374414 2.192832 -7.148908 43.55543 9238.77 -4.885352 5.809763 -8.313003
-0.7612628 0.007457437 0.06068975 1.378322 2.955225 -1.565395 -2.788561 3.794369 5.216919 -1.716694 -2.015706 0.2593367 -0.4184956 -1.604085 -0.1199487 -0.1316843 0.9277495 0.6945985 1.357632 1.190838 -1.435808 0.9054414 0.6989954 0.786278 0.09785083 -0.9405177 1.350161 -0.4592389 1.098611 -0.05998823 -0.8746883 0.04923091 0.2606914 2.938241 1294.255 36.90542 -1818.406 0.6227072 1.180413 0.4593771 -0.06383846 5.064883 -6.12789 -3.975756 8166.928 24.60568 2.258447 -2.66693
0.08792382 -0.2759836 -0.2902429 1.496824 2.643796 -1.939895 -3.050346 3.381846 5.650478 -1.849141 -1.532537 -0.09152345 0.2915823 -1.103674 -0.5425135 0.07354069 0.8508049 -0.1388094 1.457149 0.692236 -2.594028 -0.1817128 0.5982276 1.99795 -1.478823 0.008996598 1.449337 0.6799599 0.349723 -0.2151092 -0.8737744 0.9745028 0.4245059 1.916114 1114.866 -19.66752 -1491.873 0.7901682 1.628593 1.700056 -0.6644976 0.1969342 -4.990222 5.934207 6689.985 12.20931 1.857452 -27.58205
-0.1138663 -0.3527744 -0.4223068 1.082198 1.733151 -2.124397 -3.390847 1.816015 4.628487 -1.546374 -1.712705 -0.4916952 -0.9157105 -2.107818 -0.5831641 0.1804764 1.475094 0.4015979 2.491817 2.188797 -0.7962785 0.1488334 -0.2447306 1.140442 -0.2436648 0.3252065 1.988233 0.5930518 1.799134 0.7858161 0.3794885 0.6749604 1.231401 3.126685 966.8188 62.43747 -1591.344 1.814643 2.457539 1.317899 0.623282 11.27363 -0.7022652 18.94721 7023.015 1.481761 6.388708 -13.13406
-0.5459472 -0.3618905 0.2745924 1.005083 1.731191 -1.479937 -2.015144 2.935504 5.052901 -0.5199344 -0.8990434 -1.088129 -0.596102 -2.027066 -0.8080494 0.2882998 1.598183 0.0001728299 1.744546 1.16793 0.4615737 0.7224971 -0.7456665 0.8901005 0.9887433 0.3648588 0.8588663 0.1590527 1.388962 0.1541406 0.4837536 1.542848 0.7870486 3.636272 1272.578 -31.62603 -1528.381 1.092225 0.08506683 1.367297 -0.8082047 -2.895015 -1.582187 43.48103 5476.532 10.4901 6.045994 -18.67117
0.06061999 -0.5612436 0.3046704 1.727001 2.957225 -0.884382 -2.320994 4.347924 5.415753 -1.440357 -1.900642 0.3083154 0.01488909 -0.3705884 -0.3138884 -0.2275983 0.9905156 -0.2106308 1.171051 1.44002 -1.622654 -0.1622903 -0.4621666 0.9388419 0.3161703 -0.02737772 1.161097 -1.037143 -0.161328 0.1369234 -0.2392769 0.1605292 0.2844277 1.428971 1720.783 -41.59032 -1853.235 0.1173086 2.041021 -0.3852199 -2.33215 -2.590026 -7.376234 21.27443 2763.598 -14.05518 1.066678 -37.77583
-0.3903914 -0.7231761 -0.3340889 1.519162 2.258486 -1.566128 -3.06289 3.543354 5.945245 -1.907293 -0.6489506 -0.03932659 0.4042346 -1.217968 -0.6422874 -0.01912701 1.329874 0.5749507 2.404689 1.597518 -1.397236 0.3950657 -0.6158725 0.8150527 -1.066041 -0.7087493 0.8744378 0.6599824 1.148686 0.6165545 0.4258605 0.8476793 0.29693 3.434782 1107.987 67.54304 -1217.939 -1.365532 1.376443 -0.4580932 -1.602298 2.56685 -4.098288 40.34461 1641.972 2.363252 1.879826 -20.56672
-0.2904837 -0.1032028 -0.2310825 1.143308 2.104458 -1.516983 -2.839625 3.420235 4.599195 -2.762348 -1.276885 -0.5930151 -1.068419 -1.684432 -0.7814242 -0.001048371 2.01233 1.043411 2.263771 1.505386 1.530734 1.705876 1.147593 0.5322737 -0.8090604 0.2411081 2.205056 0.2340989 1.132746 0.7462231 1.693113 0.2574793 1.188729 4.758841 961.7516 -119.0337 -1232.591 -0.4627688 -1.202518 2.078621 -1.991912 -7.040714 -5.334134 22.05113 5108.672 12.06267 4.535288 -19.90343
-0.05848054 -0.2604086 -0.176696 1.641696 2.875566 -1.572755 -2.263359 3.898149 5.747392 -1.602267 -1.437081 0.1116323 -0.2821554 -1.369183 -0.06421499 -0.1655893 1.982753 0.3630821 2.771754 2.054965 0.6315339 0.6039596 -0.1719789 1.680165 0.550287 1.033457 2.156026 0.6612084 1.152091 0.8953863 0.9611424 2.333158 0.4450804 1.458599 696.7146 12.80584 -1010.575 1.273841 2.622929 3.153726 0.5430965 4.759891 -9.968741 34.69047 4658.599 5.835003 4.206468 -10.72064
-0.4939603 -0.7563755 -0.2996388 1.64165 2.747046 -2.031036 -2.975814 2.601589 4.817295 -2.272411 -2.538818 0.09876251 -0.2063206 -0.9506115 0.09360216 0.006979594 0.5208695 -0.243695 1.527788 1.019892 -0.6956836 -0.5788991 0.279931 0.7598667 0.08943695 -2.847303 -0.1872235 -0.1094632 0.509833 -0.2062483 -0.1457283 0.1948908 -0.1661821 2.173641 771.4824 -34.33678 -1748.768 1.168972 -1.674803 0.4275453 -0.4916782 8.35539 -3.065782 22.29489 12542.92 11.44026 2.698248 -6.932193
-0.6497341 -0.8750367 -0.6150171 1.965553 2.839875 -2.941128 -3.994005 3.529507 5.024875 -2.659362 -2.263328 0.5149583 0.08170995 -0.8429744 -0.4710195 0.00687622 -0.7190153 -1.846697 -0.1028784 -1.037414 -3.260791 -1.65035 -1.310816 -1.338343 -2.814244 -0.500213 0.08758877 -1.316476 -0.9844646 -1.907916 -1.057229 -1.261654 -1.085472 2.560703 754.9034 47.16232 -2116.757 -2.563695 -0.5787044 0.4580833 -3.658698 -6.173052 -6.755456 30.80896 16829.81 10.18835 2.575466 3.193336
-0.3402789 -0.6423781 -0.574472 1.682583 3.044433 -2.341965 -3.060254 4.02171 5.835714 -2.304261 -2.052378 0.8327736 -0.1262258 -0.4741606 -0.1870392 0.3311264 -0.6605858 -1.476908 -0.2179959 -0.7761161 -1.494778 -1.629047 -0.3361128 -0.762422 -0.8006417 -0.08242676 -0.4437954 -0.397599 -0.6210747 -1.666825 -1.688358 -1.982771 -1.742778 0.3515813 1266.86 -29.16 -2130.658 -2.632359 -1.691813 -1.570843 -3.856161 -8.453012 -8.075278 -14.47222 11026.83 15.81921 -0.2061345 -22.21564
