AnimalID,SampleID,ADDMI_keep,ADG_keep,FCR,Gender,Management_Group,heterosis,mathet,perANS,perHHS,perARS,perSHS,perDSS,perBMS,perBRS,perBNS,perSGS,perBVS,perCHS,perCAS,perGVS,perLMS,perMAS,perSAS,perSMS,perTAS,perBVSo,perCHSo,perLMSo,perHH,perAN,perSM,perCH,perM2,perM3,perRS,perBV,perBR,perXB,perRO
20171120,B20,9.81692307692308,1.100253249,8.92242134785378,Steer,201701_MI_ME01,0.34375,0.6875,0.75,0.0625,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
20171121,B21,9.77846153846154,1.1458786822,8.5335923343016,Steer,201701_MI_ME01,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0.125,0
20171125,G18,9.09846153846154,0.6350883404,14.3262928315312,Steer,201701_HI_ME01,0.5,1,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0
20171134,A5,8.88769230769231,0.8579646477,10.3590425683833,Steer,201701_MI_ME01,0.125,0.25,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0
20171139,F2,10.8830769230769,1.2303589604,8.84544858318319,Steer,201701_HI_ME01,0.0546875,0.109375,0.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007507324,0.004638672,0.0078125,0.00390625,0.06640625,0,0.003173828,0,0,0,0.000305176,0,0,0
20171141,D11,8.81538461538462,1.2783744572,6.89577655884395,Steer,201701_MI_MD01,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
20171144,D12,7.91076923076923,1.6369308928,4.83268369212442,Steer,201701_MI_MD01,0.125,0.25,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
20171146,I11,9.85076923076923,1.3847972934,7.11350988171222,Steer,201701_HI_ME01,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
20171150,B22,10.7338461538462,1.6591966827,6.46930304632663,Steer,201701_MI_MD01,0.5,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
20171155,G19,8.59384615384615,0.8291343783,10.3648411871021,Steer,201701_MI_MD01,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
20171158,D13,8.38923076923077,1.0759968756,7.79670551046233,Steer,201701_HI_MD01,0.5234375,0.546875,0.03125,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0
20171161,A6,8.65230769230769,1.2958170488,6.67710592349454,Steer,201701_MI_ME01,0.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21875,0.6875,0,0,0,0,0,0,0,0.03125,0.0625,0,0,0,0,0,0,0,0,0
20171164,A7,11.7261538461538,1.5860137656,7.39347545430525,Steer,201701_HI_MD01,0.46875,0.9375,0.75,0.0625,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0
20171166,B23,10.9923076923077,1.5560868867,7.06407064172305,Steer,201701_MI_ME01,0.625,0.75,0,0,0,0,0,0,0,0,0,0,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,0
20171171,G20,11.0538461538462,1.4482536097,7.6325348542621,Steer,201701_MI_MD01,0.0625,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0
20171173,G21,9.78,1.0979831955,8.90724014728329,Steer,201701_HI_ME01,0.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21875,0,0.6875,0,0,0,0,0,0,0.03125,0.0625,0,0,0,0,0,0,0,0,0
20171174,I12,7.40769230769231,0.85235267,8.69087710805471,Steer,201701_MI_ME01,0,0,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0
20171176,B25,9.69384615384615,1.020916217,9.49524161966188,Steer,201701_HI_MD01,0.734375,1,0,0,0,0,0,0,0,0.75,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0
20171178,A8,9.37692307692308,1.3292249214,7.05442918347248,Steer,201701_MI_MD01,0.0625,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0
