factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
0.107676 0.05464437 0.04149759 0.4155049 0.4730569 0.3402079 0.2509488 0.05949825 0.0434265 0.06988998 0.09476841 -0.246214 0.1431089 0.2353623 0.1691324 0.1765505 0.001816522 -0.1554828 0.06724775 -0.232596 0.0813515 -0.1418209 0.2256689 -0.01778206 -0.02048146 -0.4343134 -229.1023 -9.800644 138.638 0.02166121 -0.3870241 -0.04437908 -0.07040164 -1.829191 -0.07293114 0.251609 896.4747 -1.094534 -0.2511396 -1.07847
0.07801988 0.05352365 0.05772584 0.2172852 0.3578163 0.264675 0.2823173 0.07302683 -0.01272001 0.05892261 0.2678917 -0.1575793 0.06678665 0.2277698 -0.02035273 0.1243535 -0.1550376 0.06380091 0.1275757 -0.2495969 0.007977155 -0.02130294 0.05061557 0.086281 -0.04946518 -0.6028739 -164.9193 1.81791 89.86087 -0.2822434 -0.05830337 0.3310148 0.09484684 -0.300968 1.372117 -0.3933017 716.6948 -1.980914 -0.1523225 1.096259
0.03600846 0.1134596 0.02314088 0.2585863 0.3197904 0.4105047 0.3088267 0.08340717 0.1296908 0.1095232 0.07954201 3.511314e-05 0.3471257 0.3816081 -0.004777468 0.3184594 0.04734213 0.156493 0.1274319 -0.2881631 0.1276242 0.09962659 0.2573872 0.1624705 0.07858597 -0.3185063 -47.74775 -0.2388171 25.99222 -0.3217004 -0.04937366 0.01707434 0.2288014 -0.9165271 -0.3544156 3.291584 325.5688 -0.5013616 -0.7099687 -1.098319
0.03518955 -0.046023 0.03564005 0.2727755 0.3059138 0.182594 0.06180814 0.05384428 0.1554084 0.009271317 0.2205352 0.05868201 0.3850737 0.2811581 0.2020627 0.4282069 0.1220697 0.117649 0.3069446 0.1804922 0.0556131 0.02619453 0.2695086 0.3658457 0.1553086 -0.419323 -25.46967 1.387216 8.420872 -0.0210967 0.1247085 0.5600676 0.07974773 -1.323705 1.168395 5.361894 252.5274 -3.678764 -0.7351723 2.422292
-0.04407739 0.01657972 -0.03209371 0.22483 0.434558 0.2845618 0.1722344 0.00459478 -0.02324302 -0.004873937 0.1582299 -0.07405967 0.553875 0.3058397 0.09221586 0.5039105 0.08335558 0.3463231 0.04695683 -0.06013542 0.02144334 0.03783793 0.2228837 -0.02074374 -0.08672054 -0.3701366 24.65261 1.518788 9.891828 0.029753 -0.1067496 0.2360417 0.314386 -1.571608 1.443013 -5.05789 -394.8826 -0.705835 -0.7299906 -1.269663
0.06841692 0.05938173 0.01127684 0.3113337 0.3618002 0.2132139 0.19165 -0.01658012 -0.02624021 0.02857698 0.05011435 -0.1188985 0.3891369 0.3171173 -0.1403682 0.1358552 0.3249142 0.372187 0.09044577 -0.08452398 0.01989945 -0.09024653 -0.03803021 -0.163993 -0.1007489 -0.3443873 63.04896 -4.305737 -16.33385 -0.0965615 0.1074582 0.2833886 -0.1500811 -0.6724513 0.1105826 -3.023158 -375.0668 -1.729231 -0.5653264 0.03765417
-0.05037104 -0.03185119 -0.05326037 0.2999507 0.3823229 0.3380934 0.177887 0.130996 -0.04276802 -0.03267554 -0.03028128 -0.2071523 0.2089854 0.09559531 -0.1664153 0.07032855 0.04327966 -0.08554205 0.1268769 -0.2270869 -0.1121899 -0.06972766 0.1133631 -0.01678605 -0.06888809 -0.4297641 39.91677 -10.29763 -8.738685 -0.03935031 -0.05522619 0.02114102 -0.358364 -1.105221 -0.2411914 -1.551629 -169.8215 -1.168153 -0.5438549 1.147695
0.04551564 0.04181024 -0.03113999 0.2442219 0.5011584 0.3399637 0.2309713 0.1062997 0.07537696 -0.1382858 -0.06818895 -0.3656093 0.2255309 0.06923471 -0.07340509 -0.01356977 -0.2994712 -0.2565472 0.1842856 -0.02075142 0.01423744 -0.1024903 -0.1874555 -0.2906229 -0.04751526 -0.3463465 -4.25748 -11.49749 62.75703 0.05087214 0.01134134 0.3032069 -0.1679388 0.3052036 0.4863573 -9.182912 -515.121 -1.566579 -0.6241974 -1.560403
0.07979714 0.08911785 0.1016942 0.1828757 0.3892539 0.2212287 0.1710421 0.1108972 0.01699135 0.08721231 0.02245728 -0.01041966 0.5141672 0.2151315 0.188633 0.1634019 0.3745633 0.2223541 0.04936704 -0.2315283 -0.1258905 -0.08515838 0.07865091 -0.1825827 -0.04779525 -0.3064018 -40.70419 10.36098 44.57579 -0.1578384 -0.3970569 -0.2681144 -0.2867959 -0.6361065 0.404718 6.464546 -94.68588 -0.8185397 -0.5136883 0.9000431
-0.07135387 0.001158404 0.03561369 0.2372805 0.3162158 0.3278087 0.2000656 0.02872254 0.05934752 -0.02249751 0.1897939 -0.00915225 -0.0672332 0.4150254 0.3545819 0.3373385 0.1155433 0.4119684 0.2240412 -0.1356902 0.1446832 -0.0001740389 0.2257708 0.06871968 0.050602 -0.648813 5.036109 -4.857443 -19.09452 0.2409081 0.1736443 0.196106 0.1420457 -0.7188752 1.725661 -2.982184 363.6699 -2.418695 -0.7034581 -4.335973
