factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
-0.1017021 -0.2026125 -0.06087254 -0.5490344 -0.3167265 0.2750814 0.004498987 0.4715478 2.089189 0.4204094 1.831147 1.657111 -0.550272 2.110156 0.9190829 1.056435 -1.101584 0.5503783 1.838869 0.7998767 1.170629 0.6482048 0.8032817 1.452555 0.5124757 0.5820464 1684.722 -105.9053 -1544.98 0.2638998 -0.3890575 2.563068 0.4454219 1.816701 1.593812 4.669593 1127.588 -1.976953 -1.272073 -4.465624
0.3403715 0.3406619 0.3873096 -0.3832692 -0.4068316 0.6686075 0.4871994 0.9727446 1.695356 -0.260352 1.668104 1.792097 1.872519 0.002224675 0.1747183 0.6377963 -0.8811762 0.1822464 1.377414 -0.0006404393 0.4888224 -0.3942301 0.08415279 0.4012527 0.6545845 -0.7256157 1797.111 -155.7911 -1535.894 -0.1444652 0.07490439 0.9240223 -0.8566823 0.2830683 -1.580394 18.3387 145.819 4.601395 -1.028276 -7.635065
-0.3741795 -0.1576378 -0.1480795 -0.7325414 -0.9475557 -0.1795097 -0.6145226 0.7868889 2.258863 0.92411 2.101239 2.285492 1.701446 1.178694 1.094321 1.841985 -0.6766948 0.198551 1.875067 0.4758198 1.829967 0.7547706 0.06916069 1.829609 0.6948991 0.2702447 1454.835 -123.4884 -1419.427 0.4631605 -0.05320773 2.664781 -1.77363 0.5078605 -0.7300871 0.2443966 2584.287 0.6371913 -1.33174 5.150387
0.4088415 0.2048008 0.07261002 -0.8922788 -0.4818281 0.07830648 0.222927 1.210595 2.326219 0.2578003 1.846887 1.598035 2.844937 0.4720819 0.3616643 1.136269 -1.250649 0.4358306 2.240447 1.434567 -0.1608687 -0.01543003 0.1350664 1.490362 1.063768 0.6315813 1539.798 -45.51463 -1627.234 0.4436154 -0.812427 2.493977 -0.5387362 -0.1995396 -1.799716 73.61172 2633.639 0.9462634 -0.5352381 -7.809122
0.08883354 0.2457983 -0.07035801 -0.2760295 -0.353883 0.5391371 0.1502754 0.9308598 2.024979 0.4292823 1.466198 1.142057 2.377663 0.5845967 0.07638154 0.8876143 -0.07235024 -0.5091154 1.791743 0.3757943 0.3326863 0.01813343 0.4041592 1.73467 1.138023 0.3451649 1587.123 -100.3633 -1697.523 -0.1177289 0.08649428 0.1369145 -0.1407796 0.7141136 2.706411 65.94814 3589.19 -4.650229 -0.2398708 -3.283079
-0.07329738 -0.04685429 -0.1725708 -0.384926 -0.7447371 0.5938461 -0.7155482 0.6844048 2.076535 0.5179612 1.719966 1.447861 1.920758 0.9406862 -0.02496235 1.373378 0.5963786 0.2659426 2.175439 0.2871264 0.6238001 0.3213008 0.6387655 2.28011 0.86397 0.2630774 1434.504 -94.60696 -1667.914 -0.4131888 1.333628 2.363568 0.3611374 1.998268 1.981905 1.265149 5614.793 1.040854 -2.874109 -11.33867
-0.01816827 -0.04862507 0.2165528 -0.1480669 -0.4922057 0.06626972 -0.3012457 0.576837 1.519677 0.1259922 1.283123 0.9505741 1.693956 0.4545168 0.5264786 0.7380829 -0.900457 -0.904942 1.806564 -0.3052874 0.8882665 -0.2082655 -0.02270754 0.9707439 0.7495466 0.5431639 1502.979 -16.0156 -1626.045 -1.815676 -1.792205 2.138315 -2.236565 1.512429 -2.14504 6.270688 3545.267 -6.085921 -0.1022335 2.602437
-0.09487533 -0.05455739 -0.1326995 -0.712124 -0.3091627 -0.128699 -0.6937575 0.6937981 1.183022 -0.2458773 1.187171 1.254139 0.958153 0.1156381 -1.33772 0.393 -0.5018894 0.5950492 0.6643408 -1.37121 -0.3328999 -0.1924626 -0.5083096 0.5369028 0.184231 -0.4882946 1459.885 -26.45977 -1421.105 -0.354835 0.06292609 2.023334 -0.3593617 2.437165 0.4220441 21.88921 1506.81 5.684055 -2.468495 -5.55625
-0.02349358 0.1532633 0.1674511 0.07734172 -0.1904139 0.3593061 0.1188358 0.9749291 0.9464489 -0.9837865 0.5448621 -0.08278896 0.1537354 -0.4458341 -0.6169865 0.4861827 -2.036362 -1.630768 0.6065319 -0.9481282 0.1016252 -1.560312 -0.7674968 -0.1273998 -0.292687 -0.7312587 1513.274 -73.98535 -1549.838 -2.413348 -1.241898 0.0808502 -2.647137 -1.374114 -5.128659 23.53736 3450.042 -2.470696 -1.360108 -5.56473
-0.244092 0.004637421 -0.5031386 -0.4940135 -0.4673592 0.43808 -0.4529736 0.9810598 1.018963 -0.6578489 1.241146 0.2192631 0.07474607 0.3447283 0.7720579 -0.2427275 -1.608607 0.2304371 0.9691521 -0.4053103 -0.2631069 -0.7747607 -1.205785 -0.3297077 -0.5790044 -0.6341948 1357.326 -40.14678 -1563.296 -0.6435263 -1.144197 1.022687 -1.724197 -3.090092 1.96347 49.79922 4736.178 0.9590512 -1.256757 -18.10597
