factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
1.505305 -1.596989 -1.71219 -2.862453 -3.254273 -1.982097 -0.4350576 -0.158184 2.283289 0.6325588 1.587477 1.817917 1.577514 1.700376 -2.506619 0.5909285 0.3319807 2.742791 2.556397 0.2560625 2.753748 1.023789 2.01061 0.6223357 1.359977 -0.2395548 -81744.96 -18.77927 -149393.2 -1.030249 2.134551 3.711255 -0.2672481 -0.04580025 -10.86119 25.11862 53895.1 32378.91 4.414792 10.6453
1.433161 -2.288746 -2.505659 -2.345006 -3.466685 -1.165637 -0.8543563 -0.1928058 1.610335 0.6035688 0.8645168 0.7308121 2.078914 0.3927033 -2.094617 0.9681574 -0.3962529 0.9389643 2.252953 -0.2335734 1.917994 0.7800504 2.201703 1.460119 1.103233 -0.02918701 5435.41 -25.80217 65865.85 1.803928 1.80734 2.281355 -1.448375 15.75935 -8.59353 24.85482 -71539.18 67284.31 9.938779 -14.58922
0.8526874 -2.132523 -2.224825 -3.130049 -3.98829 -1.968725 -1.68236 0.4700003 1.18568 -0.3916939 1.020582 1.524267 0.3536727 -0.8865731 -2.356056 -0.1556676 -1.351334 0.04359585 1.024881 -2.617618 1.516604 0.1500409 0.9065629 -1.476968 0.5768572 -1.300827 2544.903 57.27487 89455.22 -1.482259 1.545755 1.610182 -3.503854 3.78946 -5.253224 4.760005 -50118.96 117681.4 7.196918 -60.30332
1.653609 -0.9705898 -0.7995784 -2.871053 -3.29224 -1.490764 -1.237927 -0.3572902 1.749296 -0.4865753 1.258898 1.493157 -0.4124086 0.6849196 -1.692035 0.6135437 0.4244169 1.98566 2.055716 -1.638353 1.314083 0.9172442 1.453666 -0.02781036 1.802037 -0.7761618 -157566.5 99.23231 79074.96 1.634351 0.3136635 0.4133559 -3.114714 -2.438432 -4.611482 -2.285976 -95345.54 -54412.49 6.422188 85.56151
1.521749 -1.451301 -2.118756 -2.634505 -3.264964 -0.8315931 -0.8036136 0.3178825 2.318976 0.7902177 1.561053 1.771358 1.16514 0.9564551 -2.91294 0.491657 -1.062574 0.1971144 2.339423 0.8438078 1.460336 1.422321 2.407423 1.367138 2.376336 1.505713 -23724.28 47.12388 249.2215 0.05611482 0.6282453 1.339364 -3.664515 7.987699 -10.10955 19.32532 -34207.46 -72427.34 8.750057 28.66218
1.326554 -1.605888 -1.559216 -3.098635 -3.486541 -1.649178 -1.637965 0.06187692 3.454002 1.369814 3.741915 3.885573 2.696916 2.15128 0.5545238 2.727285 1.13027 6.479879 3.277485 0.5147902 3.981067 2.398474 3.292028 1.275726 3.184301 3.198103 33544.15 41.27587 -164397.5 3.659973 5.761519 2.393421 -1.833069 -1.207333 -6.698306 13.37399 4338.396 19390.1 8.273318 3.722378
1.491049 -1.86036 -2.120237 -3.727603 -4.137399 -1.914974 -1.337735 -0.00501327 4.17052 2.267026 2.530585 2.898456 2.27209 4.067122 1.225806 3.852112 1.822283 3.316615 4.187836 2.824797 3.330864 3.057773 3.489233 2.77332 3.823682 1.656546 110818.6 -56.40749 -150968.9 4.710132 2.628373 5.024456 0.6508223 -0.2942535 -3.554167 13.25256 31210.61 193088.1 11.92638 -75.12684
1.061688 -1.692837 -1.534596 -3.464899 -3.349414 -1.307013 -1.360938 -0.1506277 3.842523 2.488763 3.808909 3.350461 3.470415 3.122992 1.572242 2.882924 3.020061 3.193057 4.653959 2.186259 3.923232 2.376656 3.082177 3.228685 3.026276 2.097349 -211570.6 31.44092 -23558.76 5.014009 6.163268 4.178906 0.07062548 4.974863 -4.159818 -2.21353 -74978.84 69913.86 4.898164 -42.59335
0.9183627 -2.344985 -1.902734 -2.681036 -3.560461 -1.590833 -1.186111 0.2938429 3.448278 2.516711 3.13705 3.915049 2.603391 2.817769 -0.3542168 1.640235 -0.6275532 2.799979 3.495435 1.722599 4.712936 3.412492 3.548852 2.029159 3.67761 1.842027 -28735.85 3.783738 9381.195 2.764963 2.504629 3.493005 -0.7553234 9.802841 -6.127432 4.485309 19295.83 59043.46 9.917617 25.91291
1.437475 -2.681188 -2.616828 -2.948842 -3.490634 -1.686157 -0.4904721 0.1157897 3.748037 2.252125 3.69473 2.88134 2.589096 3.894421 2.101535 1.303496 2.017171 3.015133 4.201076 2.552804 3.741152 2.525389 4.454329 3.095026 3.147084 2.016602 -203260 68.47986 -32264.1 3.349439 3.305268 4.566242 0.2289435 2.266634 -9.007813 2.067466 -6287.2 -23938.72 5.895302 -15.85459
